rep_id,method,input_size,time
2,original-py,82,0.017
2,optimized-py,82,0.016
3,original-py,82,0.017
3,optimized-py,82,0.017
4,original-py,82,0.017
4,optimized-py,82,0.016
0,original-py,107,0.017
0,optimized-py,107,0.017
1,original-py,107,0.017
1,optimized-py,107,0.016
2,original-py,107,0.016
2,optimized-py,107,0.016
3,original-py,107,0.017
3,optimized-py,107,0.018
4,original-py,107,0.017
4,optimized-py,107,0.017
0,original-py,15,0.018000000000000002
0,optimized-py,15,0.017
1,original-py,15,0.016
1,optimized-py,15,0.016
2,original-py,15,0.016
2,optimized-py,15,0.016
3,original-py,15,0.016
3,optimized-py,15,0.018
4,original-py,15,0.017
4,optimized-py,15,0.016
0,original-py,35,0.018
0,optimized-py,35,0.017
1,original-py,35,0.016
1,optimized-py,35,0.016
2,original-py,35,0.016
2,optimized-py,35,0.016
3,original-py,35,0.017
3,optimized-py,35,0.018
4,original-py,35,0.016
4,optimized-py,35,0.016
0,original-py,26,0.017
0,optimized-py,26,0.017
1,original-py,26,0.017
1,optimized-py,26,0.016
2,original-py,26,0.016
2,optimized-py,26,0.016
3,original-py,26,0.017
3,optimized-py,26,0.017
4,original-py,26,0.017
4,optimized-py,26,0.016
0,original-py,85,0.017
0,optimized-py,85,0.017
1,original-py,85,0.017
1,optimized-py,85,0.017
2,original-py,85,0.017
2,optimized-py,85,0.017
3,original-py,85,0.017
3,optimized-py,85,0.018
4,original-py,85,0.016
4,optimized-py,85,0.017
0,original-py,97,0.018
0,optimized-py,97,0.018000000000000002
1,original-py,97,0.017
1,optimized-py,97,0.017
2,original-py,97,0.017
2,optimized-py,97,0.016
3,original-py,97,0.018000000000000002
3,optimized-py,97,0.020999999999999998
4,original-py,97,0.018
4,optimized-py,97,0.016
0,original-py,92,0.017
0,optimized-py,92,0.017
1,original-py,92,0.017
1,optimized-py,92,0.016
2,original-py,92,0.017
2,optimized-py,92,0.017
3,original-py,92,0.017
3,optimized-py,92,0.018
4,original-py,92,0.017
4,optimized-py,92,0.017
0,original-py,18,0.018
0,optimized-py,18,0.016
1,original-py,18,0.017
1,optimized-py,18,0.016
2,original-py,18,0.016
2,optimized-py,18,0.016
3,original-py,18,0.016
3,optimized-py,18,0.018
4,original-py,18,0.016
4,optimized-py,18,0.016
0,original-py,63,0.018
0,optimized-py,63,0.019
1,original-py,63,0.018
1,optimized-py,63,0.016
2,original-py,63,0.016
2,optimized-py,63,0.016
3,original-py,63,0.017
3,optimized-py,63,0.018
4,original-py,63,0.016
